Duration of class (min),Heart Rate (bpm),HR Rest,60% THR (bpm),70% THR (bpm),80% THR (bpm),90% THR (bpm),HR Max (bpm),,,,,,,,,
0:06:12,156,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:13,158,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:14,158,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:15,158,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:16,158,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:17,159,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:18,158,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:19,158,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:20,158,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:21,157,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:22,156,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:23,154,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:24,154,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:25,153,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:26,153,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:27,153,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:28,152,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:29,152,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:30,153,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:31,153,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:32,151,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:33,149,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:34,146,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:35,141,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:36,138,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:37,135,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:38,133,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
0:06:39,133,60,136.8,149.6,162.5,175.2,188,,,,,,,,,
